øko,besid,slagtid,spacetime,y,mlik,waic,dic,dic_sat,envvar_mean,envvar_quant0.025,envvar_quant0.975,Intercept_mean,Intercept_quant0.025,Intercept_quant0.975,øko_mean,øko_quant0.025,øko_quant0.975,besid_mean,besid_quant0.025,besid_quant0.975,slagteriid_mean,slagteriid_quant0.025,slagteriid_quant0.975
true,true,false,spacetime,tavg_spring,-11846.6297718738,22808.8326638958,22250.2185761185,17095.451172869,-0.0558315994400823,-0.135055668038324,0.0244697455682078,-4.17628869801596,-4.50339155266856,-3.88596899022779,0.351709490496522,0.0707470148351532,0.632995904208732,3.21734358576909,2.9001659033758,3.55581041930486,,,
false,true,true,none,1,-11974.5427954846,22809.3027559324,22342.97421284,17188.2174622488,,,,-3.26315474808694,-3.63241324968234,-2.89426733562465,,,,3.33096311759258,3.01086212282055,3.66713897968825,0.350320492547791,0.145344512652569,0.745309084112989
false,true,false,spacetime,def_winter,-11843.7361382717,22809.5072855723,22251.3801485415,17096.6127413498,-0.0699994689434745,-0.148711422798385,0.00856462316355509,-4.14908945612835,-4.4737375124881,-3.86029942827001,,,,3.21726699625059,2.90186889109149,3.55719221765332,,,
false,true,true,none,def_winter,-11980.7198199415,22809.8361118435,22343.1250396944,17188.3682890946,-0.0496351499987001,-0.120262057091433,0.0209915312430566,-3.26339394729146,-3.63157866736107,-2.89561313590728,,,,3.33244412749886,3.0145311667397,3.67116002676809,0.350486345527586,0.146366604191691,0.747954889453609
true,true,false,spacetime,tavg_autumn_lag1,-11845.3193582836,22811.1490281723,22253.0436468191,17098.2762508029,-0.106673611202562,-0.210815772427058,-0.00408611422596407,-4.1376183361472,-4.45887233174712,-3.85246803344776,0.351157708200621,0.0702882062556509,0.632352337258742,3.22029833802068,2.9051061352606,3.56178413014351,,,
false,true,false,spacetime,def_spring,-11844.6201436035,22811.4981632352,22252.3531914922,17097.585779329,-0.0283688049883683,-0.121091313974156,0.0653392162638642,-4.13947698893385,-4.46719053057896,-3.85067384110172,,,,3.21578483824332,2.90036353429906,3.55507590463029,,,
false,true,true,none,soil_spring_lag1,-11981.2729029003,22811.6627030961,22344.4576290928,17189.7008785209,-0.0243425989739037,-0.0744656097538017,0.0257901223052468,-3.26520161462527,-3.63351306438195,-2.89731127196707,,,,3.32877587640404,3.01128337717305,3.66713451681621,0.350870159557138,0.146666288422207,0.748804201687195
false,true,true,none,ppt_winter,-11981.8163774504,22811.9091115366,22344.5655792545,17189.8088286805,0.011111113674282,-0.0256749626880638,0.0478963518346604,-3.26222869077147,-3.63043154948169,-2.89443465680571,,,,3.33143512917148,3.01399640374855,3.67038334647275,0.350081003329784,0.146048878100457,0.746589255771734
false,true,true,none,ppt_summer,-11982.1632472431,22812.5684552575,22344.8529442592,17190.096193661,-0.000886845131432677,-0.0313573610992167,0.0295829305806681,-3.26261166457411,-3.63117121702573,-2.89445597751784,,,,3.33181050977234,3.01406637523346,3.67058299190523,0.350525335635339,0.146123902711772,0.747264298879834
true,true,false,spacetime,soil_spring_lag1,-11846.1709536241,22813.1386638926,22254.6087049111,17099.8413054514,-0.0920089971576668,-0.220811477099553,0.0387276304819095,-4.18281830035599,-4.50934701385975,-3.89254432787599,0.351259643325777,0.0702617688347494,0.632576950975509,3.21714162392502,2.9004472841277,3.55619639567962,,,
